source,target ,weight,directed,FloorPlan,Staircase,BlockConn,Remarks,new,X,Y,status
(B2) Corridor 2,(B2) K1 Classroom 5,1,FALSE,B2,-,-,,,,,Old
(B2) Corridor 2,(B2) K1 Classroom 6,1,FALSE,B2,-,-,,,,,Old
(B2) Corridor 1,(B2) Core 1,1,FALSE,B2,-,-,,Y,,,Old
(B2) Core 1,(B3) Core 1,1,FALSE,B2,B2-B3,-,,Y,,,Old
(B2) Corridor 2,(B2) Core 2,1,FALSE,B2,-,-,,Y,,,Old
(B2) Core 2,(B3) Core 2,1,FALSE,B2,B2-B3,-,,Y,,,Old
(B2) Reading Area,(B3) Reading Area,1,FALSE,B2,B2-B3,-,,P,,,Old
,,,,,,,,,,,Old
(B3) Corridor 1,(B3) K2 Classroom 1,1,FALSE,B3,-,-,,,,,Old
(B3) Corridor 1,(B3) K2 Classroom 2,1,FALSE,B3,-,-,,,,,Old
(B3) Corridor 1,(B3) K2 Classroom 3,1,FALSE,B3,-,-,,,,,Old
(B3) Corridor 1,(B3) K2 Classroom 4,1,FALSE,B3,-,-,,,,,Old
(B3) Corridor 1,(B3) Reading Area,1,FALSE,B3,-,-,,,,,Old
(B3) Reading Area,(B3) Staff Room,1,FALSE,B3,-,-,,,,,Old
(B3) Reading Area,(B3) K2 Classroom 8,1,FALSE,B3,-,-,,,,,Old
(B3) Reading Area,(B3) Corridor 2,1,FALSE,B3,-,-,,,,,Old
(B3) Reading Area,(B3) K2 Classroom 9,1,FALSE,B3,-,,,,,,Old
(B3) Corridor 2,(B3) K2 Classroom 7,1,FALSE,B3,-,-,,,,,Old
(B3) Corridor 2,(B3) K2 Classroom 5,1,FALSE,B3,-,-,,,,,Old
(B3) Corridor 2,(B3) K2 Classroom 6,1,FALSE,B3,-,-,,,,,Old
(B3) Corridor 1,(B3) Core 1,1,FALSE,B2,-,-,,Y,,,Old
(B3) Corridor 2,(B3) Core 2,1,FALSE,B2,-,-,,Y,,,Old
,,,,,,,,,,,Old
,,,,,,,,,,,Old
(C1) Open Corridor,(C1) Ext Corridor ,1,FALSE,C1,-,-,,,,,Old
(C1) Ext Corridor,(C1) Open Corridor,1,FALSE,C1,-,-,,,,,Old
(C1) Junior PlayArea,(C1) Open Corridor,1,FALSE,C1,-,-,,,,,Old
(C1) Sky PlayCourt,(C1) Junior PlayArea,1,FALSE,C1,-,-,,,,,Old
(C1) Reading Area,(C1) Sky Playcourt,1,FALSE,C1,-,-,,,,,Old
(C1) Core 1,(C2) Core 1,1,FALSE,C1,C1-C2,-,,,,,Old
(C1) Corridor 1,(C1) Core 1,1,FALSE,C1,-,-,,,,,Old
(C1) Ext Corridor,(C2) Ext Corridor,1,FALSE,C1,C1-C2,-,,,,,Old
(C1) Ext Corridor,(C1) Corridor 1,1,FALSE,C1,-,-,,,,,Old
(C1) Corridor 1,(C1) Toilet,1,FALSE,C1,-,-,,,,,Old
(C1) Corridor 1,(C1) Visual Art 1,1,FALSE,C1,-,-,,,,,Old
(C1) Corridor 1,(C1) Visual Art 2,1,FALSE,C1,-,-,,,,,Old
(C1) Corridor 1,(C1) Science Store,1,FALSE,C1,-,-,,,,,Old
